,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
209,Samsung Galaxy M30 (SM-M305F/DS),6.4 İnç,64 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,
210,Honor Play (COR-L29),6.3 İnç,64 GB,4 GB,47puan,3750 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
211,ZTE Nubia Z17S (128 GB / 8 GB),5.73 İnç,128 GB,8 GB,47puan,3100 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
212,ZTE Axon 7 (64 GB),5.5 İnç,64 GB,4 GB,47puan,3250 mAh,Çift Hat,Var,20 MP,Var,60 Hz,Android,Var,
213,Tecno Pova Neo (128 GB / 6 GB) (LE6h),6.8 İnç,128 GB,6 GB,47puan,6000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"4.249,00"
214,Tecno Spark 7 Pro (KF8),6.6 İnç,128 GB,4 GB,47puan,5000 mAh,Çift Hat,Yok,48 MP,Var,90 Hz,Android,Yok,"4.590,00"
215,Samsung Galaxy A30s (SM-A307FN/DS),6.4 İnç,64 GB,4 GB,47puan,4000 mAh,Çift Hat,Var,25 MP,Var,60 Hz,Android,Var,"6.467,02"
216,Samsung Galaxy A8+ Plus (2018) (Çift Hat) (SM-A730F/DS),6.0 İnç,64 GB,4 GB,47puan,3500 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,"4.459,00"
217,Samsung Galaxy A8+ Plus (2018) (Tek Hat) (SM-A730F),6.0 İnç,64 GB,4 GB,47puan,3500 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,"4.359,00"
218,Infinix Hot 10T (128 GB) (X689C),6.82 İnç,128 GB,4 GB,47puan,5000 mAh,Çift Hat,Yok,48 MP,Var,90 Hz,Android,Yok,"4.149,00"
219,TCL 30 SE (128 GB),6.52 İnç,128 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Var,"4.120,00"
220,Huawei Mate 9 (MHA-L29),5.9 İnç,64 GB,4 GB,47puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
